ingredient_name,unit,grams_per_unit,source,confidence,note
참치캔,캔,150,seed,0.9,
연어캔,캔,150,seed,0.85,
옥수수콘,캔,340,seed,0.85,
토마토홀,캔,400,seed,0.85,
코코넛밀크,캔,400,seed,0.85,
슬라이스치즈,장,18,seed,0.9,
모짜렐라치즈,컵,100,seed,0.7,
식빵,장,35,seed,0.85,
바게트,개,250,seed,0.7,
모닝빵,개,40,seed,0.8,
또띠아,장,40,seed,0.85,
햄버거번,개,60,seed,0.8,
만두,개,25,seed,0.8,
물만두,개,15,seed,0.8,
왕만두,개,60,seed,0.8,
떡국떡,인분,150,seed,0.8,
떡볶이떡,개,10,seed,0.8,
가래떡,개,80,seed,0.7,
소면,인분,100,seed,0.85,
중면,인분,100,seed,0.85,
칼국수면,인분,150,seed,0.8,
우동면,인분,200,seed,0.85,
라면사리,개,110,seed,0.9,
당면,줌,50,seed,0.65,
파스타면,인분,90,seed,0.9,
스파게티면,인분,90,seed,0.9,
쌀국수면,인분,80,seed,0.8,
냉면사리,인분,150,seed,0.85,
월계수잎,장,0.2,seed,0.9,
