alias,ingredient_name,source,confidence,note
다시멸치,국물용멸치,seed,0.90,
마른미역,건미역,seed,0.95,
건다시마,다시마,seed,0.95,
마른다시마,다시마,seed,0.90,
노랑태,황태,seed,0.85,
마른명태,북어,seed,0.85,
고등어살,고등어,seed,0.90,
연어살,연어,seed,0.90,
바지락살,바지락,seed,0.90,
생굴,굴,seed,0.90,
밀크,우유,seed,0.85,
흰우유,우유,seed,0.95,
동물성생크림,생크림,seed,0.95,
모짜렐라,모짜렐라치즈,seed,0.95,
모차렐라,모짜렐라치즈,seed,0.95,
파마산,파마산치즈,seed,0.95,
파르마산,파마산치즈,seed,0.90,
파메산,파마산치즈,seed,0.90,
체다,체다치즈,seed,0.95,
치즈,슬라이스치즈,seed,0.50,종류 미상. 검수 권장
부침두부,부침용두부,seed,0.95,
찌개두부,찌개용두부,seed,0.95,
모두부,두부,seed,0.85,
오뎅,어묵,seed,0.95,매우 흔한 변형
게맛살,맛살,seed,0.95,
크래미,맛살,seed,0.90,
런천미트,스팸,seed,0.85,
부대찌개햄,스팸,seed,0.75,
캔햄,스팸,seed,0.85,
국수,소면,seed,0.75,면 종류 미상
국수면,소면,seed,0.80,
잔치국수면,소면,seed,0.90,
라면,라면사리,seed,0.80,
사리면,라면사리,seed,0.90,
잡채면,당면,seed,0.90,
넓적당면,당면,seed,0.90,
스파게티,스파게티면,seed,0.95,
파스타,파스타면,seed,0.90,
떡볶이용떡,떡볶이떡,seed,0.98,
밀떡,떡볶이떡,seed,0.80,
쌀떡,떡볶이떡,seed,0.80,
떡국용떡,떡국떡,seed,0.98,
포기김치,배추김치,seed,0.90,
신김치,배추김치,seed,0.90,
묵은지,배추김치,seed,0.85,
익은김치,배추김치,seed,0.90,
김치,배추김치,seed,0.85,종류 미상. 기본은 배추김치
토르티야,또띠아,seed,0.90,
왜간장,진간장,seed,0.85,
조선간장,국간장,seed,0.95,
집간장,국간장,seed,0.90,
재래간장,국간장,seed,0.90,
재래된장,된장,seed,0.90,
막장,된장,seed,0.70,엄밀히 다름. 검수 권장
태양초고추장,고추장,seed,0.90,
고추가루,고춧가루,seed,0.98,구 표기 및 흔한 오타
고추분,고춧가루,seed,0.80,
태양초고춧가루,고춧가루,seed,0.95,
정제염,소금,seed,0.85,
백설탕,설탕,seed,0.95,
정백당,설탕,seed,0.80,
프락토올리고당,올리고당,seed,0.95,
시럽,물엿,seed,0.60,종류 미상. 검수 권장
콩기름,식용유,seed,0.90,
대두유,식용유,seed,0.85,
튀김기름,식용유,seed,0.85,
오일,식용유,seed,0.55,올리브유일 가능성 있음
올리브오일,올리브유,seed,0.95,
엑스트라버진올리브유,올리브유,seed,0.95,
후춧가루,후추,seed,0.98,
후추가루,후추,seed,0.95,
흑후추,후추,seed,0.90,
마늘다진것,다진마늘,seed,0.95,
갈은마늘,다진마늘,seed,0.90,
찧은마늘,다진마늘,seed,0.90,
생강다진것,다진생강,seed,0.95,
갈은생강,다진생강,seed,0.90,
요리술,맛술,seed,0.90,
조리술,맛술,seed,0.90,
미향,맛술,seed,0.75,브랜드 통칭
정종,청주,seed,0.85,
액젓,멸치액젓,seed,0.80,까나리액젓일 가능성 있음
멸치젓국,멸치액젓,seed,0.90,
새우젓갈,새우젓,seed,0.95,
토마토케첩,케첩,seed,0.98,
케찹,케첩,seed,0.95,오타
마요,마요네즈,seed,0.90,
마요네스,마요네즈,seed,0.90,오타
오이스터소스,굴소스,seed,0.95,
조미료,다시다,seed,0.55,미원일 가능성 있음. 검수 권장
카레분말,카레가루,seed,0.95,
커리가루,카레가루,seed,0.90,
계피,계피가루,seed,0.85,
시나몬,계피가루,seed,0.85,
시나몬파우더,계피가루,seed,0.90,
파슬리가루,파슬리,seed,0.90,
드라이파슬리,파슬리,seed,0.90,
바질가루,바질,seed,0.90,
말린바질,바질,seed,0.90,
월계수,월계수잎,seed,0.90,
베이리프,월계수잎,seed,0.85,
고수잎,고수,seed,0.95,
실란트로,고수,seed,0.85,
가쓰오,가쓰오부시,seed,0.90,
가다랑어포,가쓰오부시,seed,0.90,
미소,미소된장,seed,0.90,
피쉬소스,피시소스,seed,0.95,
느억맘,피시소스,seed,0.80,
스윗칠리소스,스위트칠리소스,seed,0.95,
발사믹,발사믹식초,seed,0.90,
발사믹비네거,발사믹식초,seed,0.90,
양조식초,식초,seed,0.90,
2배식초,식초,seed,0.80,
아카시아꿀,꿀,seed,0.90,
폰즈,폰즈소스,seed,0.90,
스위트칠리,스위트칠리소스,seed,0.90,
