화면명	기능 코드	기능	세부기능	상세 내용
레시피	RECIPE-004	부족 재료 → 판매 상품 매칭	필요 용량 기반 상품 매칭	1. 동일 품목 → 필요 용량 충족 → 가까운 용량 우선 / 2. 부족하면 수량 조정 / 3. 품절 제외
데이터	DATA-003	크롤링 대상 선정 및 법적 검토	대상 사이트 선정	1. 후보 목록 / 2. robots.txt·약관 검토 / 3. 사실 정보만 추출, 설명·사진 미노출
	DATA-004	레시피 수집 스크립트	원본 수집 배치	1. 레시피명, 재료 문자열, 조리 단계, 이미지 URL, 조리 시간, 음식 유형, 권장 조리량 / 2. 중간 저장·재개
	DATA-005	식재료 사전 초기 구축	사전 스키마 및 초기 데이터	1. ID, 표준명, 별칭, 카테고리, 품목 / 2. 카테고리 매핑은 수작업
	DATA-006	재료 문자열 정규화	LLM 배치 정규화	1. '대파 1대'→식재료 ID / 2. 사전에 존재하는 값만. 미매칭은 실패 처리
	DATA-007	주재료 / 부재료 판정	LLM 배치 판정	1. 레시피별 주재료 목록 / 2. 샘플 수검수 필수
	DATA-008	대체 재료 사전 구축	LLM 배치 + 사람 검수	1. 진간장↔양조간장 등
	DATA-009	레시피 중복 클러스터링	룰 기반 1차 분리	1. 메인 재료 고정 분리 / 2. 클러스터 ID + 대표 레시피 플래그
			임베딩 기반 잔여 처리	1. 요리명이 다른데 같은 요리인 경우
	DATA-010	품질 필터	추천 풀 포함 여부	1. 재료 수·단계 수·필수 필드 누락 기준 / 2. 포함/제외 플래그
	DATA-001	사용자 데이터셋	최소 100명	1. [미결정] 실사용자 vs 합성 / 2. [미결정] 학습용 vs 평가용 / 3. 합성 로그 학습은 이득 불분명
	DATA-002	벡터 DB 구축	임베딩 인덱스	1. DATA-009 중복 클러스터링(확정) / 2. RECIPE-001 임베딩 재랭킹(4주차 게이트)
공통	COMMON-001	LLM 클라이언트	구조화 출력·타임아웃·재시도	1. 구조화 출력 강제 / 2. 타임아웃, 지수 백오프
	COMMON-002	프롬프트 로더	파일 기반 관리	1. prompts/ 로드 및 버전 관리
	COMMON-003	호출 로깅	request_id, model, prompt_file, 토큰, latency	1. 비용·품질 추적 기반
	COMMON-004	예외 매핑	폴백 가능한 에러 코드	1. 재시도 가능/불가 구분
	COMMON-005	내부 API 키 인증	미들웨어	1. 백엔드에서만 호출
	COMMON-006	헬스체크	/health/live · /health/ready	1. ready는 외부 의존 상태 반영
	COMMON-007	배치 공통 유틸	중간 저장·재개 및 비용 예측	1. 재개 가능 / 2. 예상 비용 출력
평가	EVAL-001	영수증 OCR 평가	평가 셋 및 정확도	1. 실제 영수증 정답 셋 / 2. 항목별 정확도
	EVAL-002	추천 품질 평가	평가 셋 및 품질 측정	1. L1→L2 비교 / 2. 4주차 결정 게이트 근거
	EVAL-003	비용 리포트	호출 비용 집계	1. OCR·LLM·임베딩 건당 및 누적
